player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta
5588,Wan'Dale Robinson,WR,TEN,88.2,8.04,74,68,107,9.3,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6530,RJ Harvey,RB,DEN,88.9,8.05,132,65,117,9.7,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2351,Jared Goff,QB,DET,91.8,8.08,40,59,117,12.8,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5673,Jordan Addison,WR,MIN,92.6,8.09,72,72,104,7.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
4888,J.K. Dobbins,RB,DEN,94.7,8.11,104,70,118,9.2,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5025,Jalen Hurts,QB,PHI,94.9,8.11,118,61,118,12.7,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2507,Aaron Jones Sr.,RB,MIN,95.6,8.12,51,74,119,9.5,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
1327,Seattle Defense,DEF,SEA,97.4,9.01,27,75,110,9.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6172,Xavier Worthy,WR,KC,97.8,9.02,66,73,115,9.2,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
3496,Jakobi Meyers,WR,JAX,98.3,9.02,75,85,115,5.6,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
1989,Travis Kelce,TE,KC,99.1,9.03,36,76,131,15.0,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5586,Romeo Doubs,WR,NE,99.9,9.04,43,78,116,8.4,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5674,Quentin Johnston,WR,LAC,100.2,9.04,91,81,116,7.1,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5648,Brock Purdy,QB,SF,100.5,9.04,66,66,123,12.9,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5636,Khalil Shakir,WR,BUF,100.9,9.05,25,89,114,6.8,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5196,Kenny Gainwell,RB,TB,101.2,9.05,85,68,124,12.5,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
5626,Rachaad White,RB,WAS,102.2,9.06,83,72,124,11.5,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
1309,Denver Defense,DEF,DEN,102.6,9.07,43,79,115,8.7,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
1664,Matthew Stafford,QB,LAR,103.0,9.07,144,68,123,13.8,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6199,Ricky Pearsall,WR,SF,103.1,9.07,115,79,116,9.1,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6534,Kyle Monangai,RB,CHI,105.2,9.09,119,70,131,13.4,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
2499,George Kittle,TE,SF,105.9,9.10,184,58,148,18.1,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
1328,LA Rams Defense,DEF,LAR,106.9,9.11,116,84,122,8.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
6772,Makai Lemon,WR,PHI,107.7,9.12,113,86,122,8.2,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}"
